Name,Total population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Median age,Median household income($),Male population,Female population,Total educational attainment,High school graduate,Bachelors degree,Masters degree,zip code tabulation area
ZCTA5 00601,16834,14170,348,14,23,0,1118,1161,44.0,17526,8337,8497,12295,3467,1622,237,00601
ZCTA5 00602,37642,18479,555,47,48,0,1476,17037,45.2,20260,18405,19237,28321,6276,3377,1181,00602
ZCTA5 00603,49075,36216,1719,32,28,0,6852,4228,45.0,17703,23813,25262,36307,10700,3041,2132,00603
ZCTA5 00606,5590,3721,9,0,0,0,1559,301,46.2,19603,2723,2867,4118,1291,186,129,00606
ZCTA5 00610,25542,11182,576,2,0,0,1635,12147,44.4,22796,12317,13225,19085,5279,2467,846,00610
ZCTA5 00611,1315,765,14,0,0,0,478,58,48.1,22525,667,648,1019,256,81,39,00611
ZCTA5 00612,63312,23571,1775,36,560,0,16794,20576,44.4,22305,29745,33567,46409,13006,4974,2232,00612
ZCTA5 00616,9625,3512,626,0,147,0,2298,3042,46.7,23652,4515,5110,7396,2384,775,187,00616
ZCTA5 00617,22573,8496,754,38,360,0,4342,8583,42.6,20328,10709,11864,16397,5265,1688,796,00617
ZCTA5 00622,7577,3409,419,0,0,0,2713,1036,50.2,22818,3334,4243,6112,1276,865,361,00622
ZCTA5 00623,39406,16400,1790,177,206,0,15555,5278,45.4,23132,18869,20537,29115,6484,2875,1268,00623
ZCTA5 00624,21648,16052,611,0,25,0,3823,1137,40.1,20101,10612,11036,15095,3914,2166,425,00624
ZCTA5 00627,32733,26687,542,43,0,0,3421,2040,44.5,23263,15525,17208,24290,5421,4377,1141,00627
ZCTA5 00631,1431,1377,8,0,0,0,43,3,42.1,15658,616,815,1100,144,142,59,00631
ZCTA5 00636,1057,603,0,0,0,0,385,69,29.7,-666666666,576,481,577,212,62,23,00636
ZCTA5 00637,22882,14793,123,79,11,0,5332,2544,45.1,20568,10634,12248,16145,5127,1618,615,00637
ZCTA5 00638,17605,9019,594,247,77,0,1388,6280,45.6,19796,8553,9052,13117,3683,1271,238,00638
ZCTA5 00641,24299,11942,314,0,19,0,10568,1456,45.9,17673,11497,12802,17971,4340,1932,607,00641
ZCTA5 00646,35926,16043,2257,10,0,0,2320,15296,42.5,31330,17389,18537,25704,6403,2399,1655,00646
ZCTA5 00647,4702,2337,287,0,4,0,1893,181,46.4,17143,2285,2417,3191,1335,341,40,00647
ZCTA5 00650,13767,6258,81,0,186,0,2396,4846,41.1,20363,6578,7189,9756,3212,1020,210,00650
ZCTA5 00652,3924,1595,74,38,49,0,471,1697,44.5,26148,1799,2125,2947,718,312,153,00652
ZCTA5 00653,8980,5668,428,15,0,0,2270,599,44.7,13777,4460,4520,6567,2321,753,235,00653
ZCTA5 00656,18121,13909,343,32,82,0,2831,924,44.9,21456,8610,9511,13307,3505,2243,662,00656
ZCTA5 00659,37066,28807,1242,84,4,0,3613,3316,44.7,23899,17719,19347,27842,6572,4936,1793,00659
ZCTA5 00660,15483,3249,381,0,0,0,11047,806,48.9,22556,7162,8321,11905,3304,938,622,00660
ZCTA5 00662,40480,22574,3146,51,35,0,9915,4759,44.3,20283,19481,20999,30227,8906,3536,1660,00662
ZCTA5 00664,14967,8056,560,0,0,0,5801,550,41.9,17966,7355,7612,10589,3560,643,431,00664
ZCTA5 00667,23370,9936,610,0,0,0,10292,2532,47.4,16889,11400,11970,17674,4479,2249,544,00667
ZCTA5 00669,27529,23993,621,15,0,0,1851,1049,44.5,18838,13676,13853,20357,4536,2477,991,00669
ZCTA5 00670,8746,4902,197,0,0,0,3077,570,44.0,16644,4297,4449,6194,2061,609,132,00670
ZCTA5 00674,39385,16294,1040,26,114,0,5356,16555,44.0,20088,18322,21063,28883,8547,2574,1274,00674
ZCTA5 00676,36683,28106,1703,111,0,0,4045,2718,42.2,20160,17935,18748,26407,7619,2096,1130,00676
ZCTA5 00677,15304,6030,344,0,0,0,725,8205,48.7,26404,7080,8224,11840,2667,1803,436,00677
ZCTA5 00678,25039,17356,893,79,0,0,3593,3118,44.4,19558,12401,12638,18679,5113,2964,783,00678
ZCTA5 00680,43173,7550,978,20,33,0,31956,2636,45.6,16535,20875,22298,30792,7305,2270,1426,00680
ZCTA5 00682,30414,4887,847,5,5,0,22299,2371,38.0,17385,14278,16136,19482,4647,1219,1213,00682
ZCTA5 00683,29547,18986,339,0,8,34,7763,2417,46.9,18132,14266,15281,21913,6826,1854,822,00683
ZCTA5 00685,40346,29322,1122,37,21,0,6262,3582,45.7,17481,19505,20841,29680,7033,3337,1141,00685
ZCTA5 00687,28659,12506,1180,0,0,0,2915,12058,41.5,22282,14190,14469,20557,6012,2794,657,00687
ZCTA5 00688,11478,3097,168,0,111,0,6176,1926,42.5,17273,5948,5530,8499,2535,602,173,00688
